Player,Salary,Age,Team,Conference,Rank
Malevy Leons,126356,25,Oklahoma City Thunder,West,1
Fred VanVleet,42846615,30,Houston Rockets,West,2
Dillon Brooks,22255493,29,Houston Rockets,West,2
Steven Adams,12600000,31,Houston Rockets,West,2
Jalen Green,12483048,22,Houston Rockets,West,2
Reed Sheppard,10098960,20,Houston Rockets,West,2
Jabari Smith Jr.,9770880,21,Houston Rockets,West,2
Amen Thompson,9249960,22,Houston Rockets,West,2
Jock Landale,8000000,29,Houston Rockets,West,2
Jeff Green,8000000,38,Houston Rockets,West,2
Jae'Sean Tate,7565217,29,Houston Rockets,West,2
Alperen Sengun,5424654,22,Houston Rockets,West,2
Aaron Holiday,4668000,28,Houston Rockets,West,2
Tari Eason,3695160,23,Houston Rockets,West,2
Cam Whitmore,3379080,20,Houston Rockets,West,2
David Roddy,2967212,23,Houston Rockets,West,2
Jeenathan Williams,515881,25,Houston Rockets,West,2
LeBron James,48728845,40,Los Angeles Lakers,West,3
Luka Doncic,43031940,25,Los Angeles Lakers,West,3
Rui Hachimura,17000000,26,Los Angeles Lakers,West,3
Dorian Finney-Smith,14924167,31,Los Angeles Lakers,West,3
Austin Reaves,12976362,26,Los Angeles Lakers,West,3
Gabe Vincent,11000000,28,Los Angeles Lakers,West,3
Jarred Vanderbilt,10714286,25,Los Angeles Lakers,West,3
Dalton Knecht,3819120,23,Los Angeles Lakers,West,3
Shake Milton,2875000,28,Los Angeles Lakers,West,3
Alex Len,2831348,31,Los Angeles Lakers,West,3
Cam Reddish,2463946,25,Los Angeles Lakers,West,3
Jaxson Hayes,2463946,24,Los Angeles Lakers,West,3
Markieff Morris,2087519,35,Los Angeles Lakers,West,3
Bronny James,1157153,20,Los Angeles Lakers,West,3
Jordan Goodwin,223718,26,Los Angeles Lakers,West,3
Nikola Jokic,51415938,29,Denver Nuggets,West,4
Jamal Murray,36016200,27,Denver Nuggets,West,4
Michael Porter Jr.,35859950,26,Denver Nuggets,West,4
Aaron Gordon,22841455,29,Denver Nuggets,West,4
Zeke Nnaji,8888889,24,Denver Nuggets,West,4
Russell Westbrook,5631296,36,Denver Nuggets,West,4
Dario Saric,5168000,30,Denver Nuggets,West,4
Christian Braun,3089640,23,Denver Nuggets,West,4
Julian Strawther,2552520,22,Denver Nuggets,West,4
Peyton Watson,2413560,22,Denver Nuggets,West,4
DeAndre Jordan,2087519,36,Denver Nuggets,West,4
Vlatko Cancar,2087519,27,Denver Nuggets,West,4
Jalen Pickett,1891857,25,Denver Nuggets,West,4
Hunter Tyson,1891857,24,Denver Nuggets,West,4
Kawhi Leonard,49205800,33,Los Angeles Clippers,West,5
Ben Simmons,40011909,28,Los Angeles Clippers,West,5
James Harden,33653846,35,Los Angeles Clippers,West,5
Norman Powell,19241379,31,Los Angeles Clippers,West,5
Bogdan Bogdanovic,17260000,32,Los Angeles Clippers,West,5
Ivica Zubac,11743210,27,Los Angeles Clippers,West,5
Derrick Jones Jr.,9523810,27,Los Angeles Clippers,West,5
Kris Dunn,5168000,30,Los Angeles Clippers,West,5
Drew Eubanks,5000000,27,Los Angeles Clippers,West,5
Nicolas Batum,4668000,36,Los Angeles Clippers,West,5
Amir Coffey,3938271,27,Los Angeles Clippers,West,5
Kobe Brown,2533920,25,Los Angeles Clippers,West,5
Patrick Baldwin Jr.,2448840,22,Los Angeles Clippers,West,5
Patty Mills,2087519,36,Los Angeles Clippers,West,5
Cam Christie,1157153,19,Los Angeles Clippers,West,5
Jordan Miller,1050000,25,Los Angeles Clippers,West,5
